LessonConstructId,QuestionConstructId,n00,n01,n10,n11,Count,p010_m,k010_m
70,1270,8,38,3,30,79,0.826086957,0.775510204
70,1271,56,5,6,11,78,0.081967213,0.074626866
70,1272,13,10,18,36,77,0.434782609,0.243902439
70,1403,21,9,22,24,76,0.3,0.173076923
70,3380,21,4,10,41,76,0.16,0.114285714
206,211,19,14,24,37,94,0.424242424,0.245614035
206,212,11,14,11,65,101,0.56,0.388888889
206,216,73,17,34,90,214,0.182926829,0.12962963
206,217,36,40,41,141,258,0.576271186,0.400406504
206,218,26,19,8,41,94,0.422222222,0.358490566
432,424,4,5,16,38,63,0.555555556,0.2
432,433,13,4,8,37,62,0.235294118,0.16
432,435,8,6,8,40,62,0.428571429,0.272727273
432,3124,14,5,2,41,62,0.263157895,0.238095238
432,3228,23,9,5,25,62,0.28125,0.243243243
469,287,59,10,10,11,90,0.144927536,0.126582278
469,470,17,11,7,63,98,0.392857143,0.314285714
469,471,13,14,10,30,67,0.518518519,0.378378378
469,473,13,7,19,127,166,0.35,0.179487179
469,474,20,11,28,101,160,0.35483871,0.186440678
469,475,15,9,6,65,95,0.375,0.3
469,476,9,10,4,71,94,0.526315789,0.434782609
469,479,52,14,15,103,184,0.212121212,0.172839506
469,483,46,10,23,10,89,0.178571429,0.126582278
469,531,34,5,11,12,62,0.128205128,0.1
469,547,21,11,25,34,91,0.34375,0.192982456
469,2296,11,14,14,27,66,0.56,0.358974359
638,639,11,10,12,35,68,0.441176471,0.261904762
638,713,14,4,9,37,64,0.222222222,0.148148148
638,716,25,10,9,14,58,0.285714286,0.227272727
638,886,28,12,4,14,58,0.3,0.272727273
638,3358,15,6,14,23,58,0.285714286,0.171428571
1030,287,49,8,4,12,73,0.140350877,0.131147541
1030,474,13,11,15,39,78,0.458333333,0.282051282
1030,479,38,2,9,23,72,0.05,0.040816327
1030,483,30,10,22,10,72,0.25,0.161290323
1030,547,17,13,15,30,75,0.433333333,0.288888889
2028,2034,13,12,7,23,55,0.48,0.375
2028,2035,19,10,10,23,62,0.344827586,0.256410256
2028,2066,32,5,4,19,60,0.135135135,0.12195122
2028,2104,36,5,9,8,58,0.12195122,0.1
2028,3156,18,6,8,23,55,0.25,0.1875
2930,471,18,13,10,15,56,0.419354839,0.317073171
2930,473,11,3,7,36,57,0.214285714,0.142857143
2930,474,11,1,8,35,55,0.083333333,0.05
2930,2296,12,12,12,19,55,0.5,0.333333333
2931,470,24,5,8,38,75,0.172413793,0.135135135
2931,473,16,5,4,49,74,0.238095238,0.2
2931,475,12,3,10,49,74,0.2,0.12
2931,476,10,10,5,49,74,0.5,0.4
2931,479,13,6,7,47,73,0.315789474,0.230769231
3119,211,18,14,14,27,73,0.4375,0.304347826
3119,212,7,6,7,57,77,0.461538462,0.3
3119,216,41,5,6,23,75,0.108695652,0.096153846
3119,217,15,13,10,38,76,0.464285714,0.342105263
3119,218,18,6,8,42,74,0.25,0.1875
3132,1270,8,35,3,22,68,0.813953488,0.760869565
3132,1271,51,13,4,9,77,0.203125,0.191176471
3132,1272,12,5,19,31,67,0.294117647,0.138888889
3132,1403,27,8,20,12,67,0.228571429,0.145454545
3132,3380,16,10,9,31,66,0.384615385,0.285714286
574,216,11,8,9,65,93,0.458333333,0.263157895
574,217,16,15,18,88,137,0.560606061,0.386904762
628,2034,12,8,9,17,46,0.4,0.275862069
628,2035,20,9,8,13,50,0.310344828,0.243243243
628,2066,31,2,3,13,49,0.060606061,0.055555556
628,2104,31,4,7,7,49,0.114285714,0.095238095
628,3156,11,6,10,20,47,0.352941176,0.222222222
690,692,16,8,6,3,33,0.333333333,0.266666667
690,695,5,3,5,19,32,0.375,0.230769231
690,700,15,5,5,7,32,0.25,0.2
690,702,11,11,5,5,32,0.5,0.407407407
690,704,7,4,4,19,34,0.363636364,0.266666667
703,700,13,8,7,16,44,0.380952381,0.285714286
703,701,12,9,6,17,44,0.428571429,0.333333333
703,702,14,7,5,18,44,0.333333333,0.269230769
703,706,20,8,8,8,44,0.285714286,0.222222222
703,707,17,4,6,17,44,0.19047619,0.148148148
1470,1476,6,3,5,32,46,0.333333333,0.214285714
1470,1482,21,7,14,5,47,0.25,0.166666667
1470,1484,13,7,7,18,45,0.35,0.259259259
1470,1533,22,8,10,4,44,0.266666667,0.2
1470,1810,17,4,5,20,46,0.19047619,0.153846154
1526,985,25,13,14,41,93,0.384057971,0.326388889
1795,1476,7,2,5,22,36,0.222222222,0.142857143
1795,1482,22,4,10,2,38,0.153846154,0.111111111
1795,1484,10,3,9,12,34,0.230769231,0.136363636
1795,1533,16,5,8,4,33,0.238095238,0.172413793
1795,1810,9,7,6,12,34,0.4375,0.318181818
2773,692,17,6,7,5,35,0.260869565,0.2
2773,695,9,3,5,16,33,0.25,0.176470588
2773,700,12,6,7,6,31,0.333333333,0.24
2773,704,12,6,3,15,36,0.333333333,0.285714286
2930,531,29,6,13,2,50,0.171428571,0.125
3120,700,10,15,4,11,40,0.6,0.517241379
3120,701,13,8,10,9,40,0.380952381,0.258064516
3120,702,14,6,8,11,39,0.3,0.214285714
3120,706,19,5,3,7,34,0.208333333,0.185185185
3120,707,16,4,6,11,37,0.2,0.153846154
4,2580,5,1,1,0,7,0.166666667,0.142857143
4,2588,5,2,0,0,7,0.285714286,0.285714286
4,2593,6,0,1,0,7,0,0
4,2598,4,1,2,0,7,0.2,0.142857143
4,2602,4,3,0,0,7,0.428571429,0.428571429
247,854,1,2,0,4,7,0.666666667,0.666666667
247,1267,5,6,1,2,14,0.5,0.428571429
247,3120,4,1,2,0,7,0.2,0.142857143
247,3132,3,0,2,2,7,0,0
440,447,9,3,1,2,15,0.25,0.230769231
440,448,6,1,3,5,15,0.142857143,0.1
440,1286,5,1,7,2,15,0.166666667,0.076923077
440,3121,7,2,3,3,15,0.222222222,0.166666667
440,3218,11,1,2,1,15,0.083333333,0.071428571
447,1271,3,3,0,2,8,0.5,0.5
447,3119,4,3,0,1,8,0.428571429,0.428571429
447,3133,1,3,1,3,8,0.75,0.6
447,3176,5,0,0,3,8,0,0
447,3243,1,2,4,1,8,0.666666667,0.285714286
551,1272,2,0,1,12,15,0,0
551,1275,4,2,4,5,15,0.333333333,0.2
551,1276,13,2,9,21,45,0.125,0.055555556
638,72,1,1,1,0,3,0.5,0.333333333
638,3424,1,1,1,0,3,0.5,0.333333333
690,424,1,3,4,11,19,0.75,0.375
690,433,5,4,0,10,19,0.444444444,0.444444444
690,435,10,0,1,8,19,0,0
690,3124,4,2,4,9,19,0.333333333,0.2
690,3228,12,1,3,3,19,0.076923077,0.0625
713,1873,7,2,1,2,12,0.3,0.25
713,1875,2,2,1,1,6,0.5,0.4
713,1877,2,1,3,0,6,0.333333333,0.166666667
713,2748,4,1,0,1,6,0.2,0.2
855,854,1,0,0,4,5,0,0
855,1267,5,2,2,1,10,0.375,0.3
855,3120,1,1,0,3,5,0.5,0.5
855,3132,2,0,0,3,5,0,0
935,941,11,3,1,1,16,0.214285714,0.1875
935,956,3,2,0,2,7,0.4,0.4
935,957,2,3,2,1,8,0.6,0.428571429
935,960,5,2,0,1,8,0.285714286,0.285714286
1492,941,11,3,3,1,18,0.25,0.166666667
1492,956,5,3,0,1,9,0.375,0.375
1492,957,6,0,3,0,9,0,0
1492,960,6,2,1,0,9,0.25,0.222222222
1526,986,12,2,3,11,28,0.142857143,0.117647059
1526,1530,13,6,5,5,29,0.315789474,0.25
1872,1873,6,2,2,0,10,0.2,0.2
1872,1875,2,2,1,0,5,0.5,0.4
1872,1877,2,2,1,0,5,0.5,0.4
1872,2748,3,2,0,0,5,0.4,0.4
2563,2580,0,2,0,2,4,1,1
2563,2588,2,1,0,1,4,0.333333333,0.333333333
2563,2593,0,0,2,2,4,,0
2563,2598,1,2,1,0,4,0.666666667,0.5
2563,2602,2,0,0,2,4,0,0
2564,2282,4,0,0,0,4,0,0
2564,2581,1,0,0,0,1,0,0
2598,424,5,2,6,9,22,0.285714286,0.153846154
2598,433,2,1,0,18,21,0.333333333,0.333333333
2598,435,1,1,3,16,21,0.5,0.2
2598,3124,1,0,2,18,21,0,0
2598,3228,5,3,3,10,21,0.375,0.272727273
2773,702,6,8,10,5,29,0.571428571,0.333333333
2947,403,4,1,3,8,16,0.2,0.125
2947,2944,7,6,2,1,16,0.461538462,0.4
2947,2948,1,2,1,12,16,0.666666667,0.5
2947,2969,7,1,2,6,16,0.125,0.1
2947,2971,4,4,2,6,16,0.5,0.4
3132,3119,3,4,1,1,9,0.571428571,0.5
3132,3133,2,1,1,5,9,0.333333333,0.25
3132,3176,1,4,1,3,9,0.8,0.666666667
3132,3243,1,0,4,4,9,0,0
3133,447,5,2,3,0,10,0.285714286,0.2
3133,448,3,2,2,3,10,0.4,0.285714286
3133,1272,2,0,5,7,14,0,0
3133,1275,3,6,1,4,14,0.666666667,0.6
3133,1276,17,4,12,9,42,0.240740741,0.102564103
3133,1286,5,1,3,1,10,0.166666667,0.111111111
3133,3121,3,2,2,3,10,0.4,0.285714286
3133,3218,7,2,1,0,10,0.222222222,0.2
3178,72,0,1,2,3,6,1,0.333333333
3178,639,7,2,0,9,18,0.3,0.3
3178,3424,1,0,2,3,6,0,0
