UserId,Gender,MonthOfBirth,IsPupilPremium,YearGroup
10044,Male,2001-08-01,,5
863,Unspecified,,,8
10045,Unspecified,,,5
9763,Male,2010-09-01,,7
10046,Female,2005-11-01,0,12
10047,Male,2006-04-01,0,
10048,Male,2006-01-01,1,
10049,Unspecified,,,5
10050,Female,2005-11-01,,
10051,Male,2004-06-01,0,11
10052,Unspecified,2006-07-01,,11
10053,Female,2008-02-01,,10
9995,Female,2007-08-01,,11
10054,Female,2007-08-01,1,
10055,Female,2007-08-01,1,
10056,Male,2007-08-01,0,
10057,Male,2009-05-01,,7
10058,Male,2006-10-01,,10
10059,Male,2007-01-01,,11
10060,Female,2006-12-01,,11
10061,Male,2007-04-01,,11
10062,Female,2006-09-01,,11
10063,Male,2007-03-01,,11
10064,Male,2007-05-01,,11
10065,Male,2007-06-01,0,11
10066,Female,2007-01-01,,11
10067,Male,2007-08-01,,11
10068,Male,2007-03-01,,11
10069,Female,2006-09-01,,11
10070,Male,2007-03-01,0,11
10071,Female,2007-08-01,0,11
10072,Female,2007-04-01,0,11
10073,Male,2007-06-01,,11
10074,Female,2007-08-01,,11
10075,Male,2007-02-01,,11
10076,Female,2006-09-01,1,11
10077,Female,2006-11-01,,11
10078,Male,2006-10-01,,11
10079,Male,2006-10-01,,11
10080,Male,2007-03-01,,11
10081,Female,2007-02-01,,11
10082,Male,2007-08-01,,12
10083,Male,2007-02-01,0,11
10084,Male,2007-06-01,,11
10085,Male,2007-03-01,,11
10086,Male,2007-03-01,,11
10087,Female,2006-09-01,,11
10088,Female,2007-05-01,,11
10089,Male,2006-11-01,,11
10090,Male,2006-12-01,,11
10091,Female,2006-11-01,,11
10092,Female,2006-11-01,,11
10093,Male,2007-06-01,,11
10094,Male,2007-08-01,,11
10095,Male,2006-12-01,,11
10096,Male,2006-08-01,,11
10097,Male,2006-09-01,0,11
10098,Female,2006-11-01,,11
10099,Female,2007-07-01,,11
10100,Male,2007-08-01,,11
10004,Male,2007-07-01,,11
10101,Female,2011-01-01,,
10102,Female,2012-11-01,,
10103,Male,2012-02-01,,
10104,Male,2011-01-01,,
10105,Female,2012-07-01,,6
8236,Female,2011-09-01,,6
10106,Male,2013-05-01,,5
8227,Female,2012-06-01,,6
10107,Female,2013-04-01,,5
10108,Male,2012-11-01,,5
10109,Female,2012-10-01,,5
10110,Male,2012-12-01,,5
10111,Female,2012-09-01,,5
8231,Female,2011-10-01,,6
8226,Male,2011-09-01,,6
10112,Male,2013-06-01,,5
10113,Female,2006-08-01,,9
10114,Male,2009-10-01,,6
7139,Male,2006-10-01,,11
6044,Male,2007-08-01,,11
10115,Male,2007-02-01,,7
6045,Female,2006-09-01,,11
6054,Female,2006-12-01,,11
10116,Female,2013-06-01,,5
10117,Female,2013-07-01,,5
10118,Male,2015-08-01,,3
10119,Male,2013-07-01,,5
10120,Male,2012-12-01,,5
10121,Male,2013-08-01,,5
5777,Unspecified,2008-07-01,,10
10122,Female,2006-10-01,,11
10123,Female,2010-08-01,1,
10124,Male,2010-08-01,0,
10125,Female,2006-02-01,1,
10126,Female,2005-11-01,0,11
10127,Female,2008-06-01,0,9
10128,Male,2010-05-01,0,7
10129,Unspecified,,,
10130,Male,2008-08-01,,9
10131,Female,2008-06-01,,9
10132,Female,2008-02-01,,10
10133,Unspecified,,,6
10134,Unspecified,,,
10135,Male,2008-07-01,,
6871,Male,2007-07-01,,5
10136,Female,2007-05-01,,5
10137,Female,2007-11-01,0,
10138,Male,2008-02-01,0,
10139,Female,2008-03-01,,10
10140,Male,2008-07-01,,10
10141,Male,2007-11-01,,10
10142,Female,2007-09-01,,10
10143,Female,2008-08-01,,5
10144,Female,2007-09-01,,10
10145,Female,2008-03-01,,10
10146,Female,2008-03-01,,10
10147,Female,2008-04-01,,10
10148,Male,2007-09-01,,10
10149,Male,2008-05-01,,10
10150,Female,2008-04-01,,10
10151,Female,2007-10-01,,10
10152,Male,2008-02-01,,10
10153,Female,2008-02-01,,10
10154,Male,2007-11-01,,10
6958,Male,2008-07-01,,10
10155,Female,2008-06-01,,10
6935,Female,2007-09-01,,10
10156,Male,2008-01-01,,10
10157,Female,2008-07-01,,10
10158,Male,2007-10-01,,10
10159,Male,2007-11-01,,10
6988,Male,2008-06-01,,10
7224,Male,2007-09-01,,10
7064,Male,2008-01-01,,10
10160,Male,2007-11-01,,10
5886,Unspecified,,,5
10161,Female,2002-04-01,,6
10162,Male,1987-09-01,,6
10163,Male,2005-07-01,,8
10164,Male,2004-12-01,0,13
10165,Female,2005-08-01,0,
10166,Female,2004-11-01,0,
10167,Female,2005-11-01,0,
10168,Male,2006-08-01,0,
10169,Female,2005-11-01,0,
10170,Male,2006-03-01,0,12
10171,Male,2012-10-01,,2
2235,Male,2006-04-01,,12
2240,Male,2005-09-01,,12
2242,Male,2006-07-01,,12
10172,Female,2008-02-01,,10
8680,Female,2007-03-01,,11
10173,Female,2006-05-01,0,12
10174,Male,2006-01-01,0,13
10175,Male,2006-08-01,0,
10176,Male,2006-10-01,,6
10177,Male,2006-10-01,0,
10178,Male,2007-06-01,,11
10179,Male,2007-08-01,,11
10180,Female,2007-04-01,0,11
10181,Female,2007-08-01,0,11
10182,Female,2007-08-01,,11
10183,Male,2006-09-01,,11
10184,Female,2006-12-01,,11
10185,Female,2007-08-01,1,11
10186,Male,2007-02-01,,11
10187,Male,2007-01-01,,11
10188,Female,2007-08-01,,11
8983,Male,2006-10-01,,11
10189,Male,2007-03-01,,11
10190,Female,2007-05-01,,11
10191,Female,2007-01-01,,11
10192,Male,2007-07-01,,11
10193,Male,2006-12-01,,11
10194,Female,2007-07-01,,11
10195,Female,2007-07-01,,11
10196,Male,2007-06-01,,11
10197,Male,2007-02-01,,11
10198,Female,2007-01-01,,11
10199,Male,2007-08-01,,11
10200,Female,2007-02-01,,11
10201,Male,2007-06-01,,11
10202,Male,2006-09-01,,11
10203,Female,2007-08-01,,11
10204,Female,2007-04-01,,11
10205,Female,2007-02-01,,11
10206,Male,2006-10-01,,11
10207,Male,2006-10-01,,11
10208,Female,2007-01-01,,11
10209,Male,2007-07-01,,11
10210,Male,2006-10-01,,11
10211,Male,2007-06-01,,11
8575,Male,2006-11-01,,11
9993,Male,2007-02-01,,11
9996,Male,2007-03-01,,11
10212,Female,2007-05-01,0,11
10213,Male,2013-01-01,,
10214,Male,2012-06-01,,
10215,Female,2010-12-01,,
10216,Female,2011-08-01,,
10217,Female,2012-03-01,,6
10218,Male,2013-04-01,,
10219,Female,2011-12-01,,
10220,Female,,,11
10221,Male,2013-03-01,,5
8230,Male,2012-07-01,,6
8238,Female,2011-12-01,,6
10222,Male,2013-05-01,,5
10223,Female,2013-04-01,,5
10224,Male,2012-11-01,,5
7691,Male,2008-07-01,,10
7702,Male,2008-02-01,,10
10225,Female,2006-12-01,,11
10226,Female,2007-06-01,,11
10227,Unspecified,,,10
4423,Female,2007-06-01,,7
10228,Male,2013-06-01,,5
10229,Male,2012-10-01,,5
10230,Female,2013-05-01,,5
10231,Female,2013-01-01,,5
6604,Female,2012-02-01,,6
10232,Male,2013-08-01,,5
10233,Female,2007-03-01,1,11
10234,Male,2009-10-01,0,
10235,Male,2010-03-01,0,
10236,Female,2007-03-01,,
10237,Unspecified,,,5
10238,Male,2007-08-01,,11
10239,Male,2007-10-01,0,9
10240,Female,2010-02-01,1,7
10241,Unspecified,,,
10242,Unspecified,,,
9019,Unspecified,2006-05-01,,9
6751,Male,2007-10-01,,9
10243,Female,2008-04-01,,9
10244,Female,2008-08-01,,10
10245,Unspecified,,,
10246,Unspecified,,,
10247,Male,2008-04-01,,
6868,Female,2007-07-01,,5
7516,Female,2007-05-01,,11
10248,Female,2006-12-01,,11
10249,Female,2006-12-01,,11
6873,Male,2007-08-01,,5
6862,Female,2007-08-01,,6
10250,Female,2008-06-01,1,9
10251,Female,2008-02-01,0,
10252,Male,2008-06-01,0,
10253,Female,2008-02-01,0,8
10254,Female,2007-10-01,0,
10255,Female,2008-08-01,0,
10256,Female,2008-03-01,1,
10257,Unspecified,,,9
10258,Male,2007-11-01,,10
10259,Female,2008-07-01,,10
6777,Female,2007-11-01,,10
7125,Male,2008-08-01,,10
10260,Male,2008-07-01,,10
10261,Male,2008-03-01,,10
10262,Male,2008-03-01,,10
10263,Male,2008-01-01,,10
10264,Male,2007-12-01,,10
10265,Male,2008-05-01,,10
10266,Female,2007-09-01,,10
10267,Female,2008-04-01,,10
10268,Male,2008-08-01,0,10
10269,Female,2008-08-01,0,10
10270,Female,2007-10-01,,10
8615,Female,2014-10-01,,3
10271,Male,2015-06-01,,3
10272,Unspecified,2006-05-01,,12
10273,Female,2008-02-01,,10
7149,Female,2008-04-01,,10
10274,Female,1983-11-01,,
6800,Female,2005-04-01,,5
9393,Unspecified,2009-03-01,,9
6615,Female,2006-07-01,,11
6794,Female,2005-04-01,,5
10275,Male,2008-05-01,,
2236,Male,2006-05-01,,12
2238,Female,2006-07-01,,12
10276,Male,2007-07-01,0,10
10277,Male,2010-04-01,0,
10278,Unspecified,,,
10279,Male,2006-07-01,0,
10280,Female,2007-08-01,0,
10281,Female,2007-02-01,1,5
10282,Female,2007-02-01,,11
10283,Male,2006-10-01,0,11
10284,Male,2007-01-01,0,11
10285,Female,2007-02-01,,11
10286,Male,2007-01-01,,11
10287,Male,2006-11-01,,11
10288,Female,2007-06-01,,11
10289,Female,2006-11-01,0,11
10290,Male,2006-10-01,,11
10291,Male,2007-04-01,0,11
10292,Female,2007-07-01,,11
10293,Female,2007-06-01,,11
10294,Male,2007-05-01,,11
10295,Female,2007-01-01,,11
10296,Female,2006-09-01,,12
10297,Male,2006-10-01,,11
