SubjectId,Name,ParentId,Level
3,Maths,,0
32,Number,3.0,1
33,BIDMAS,144.0,3
34,Upper and Lower Bounds,141.0,3
35,Calculator Use,32.0,2
36,Decimals,32.0,2
37,"Factors, Multiples and Primes",32.0,2
38,"Fractions, Decimals and Percentage Equivalence",32.0,2
39,Fractions,32.0,2
40,"Indices, Powers and Roots",32.0,2
41,Basic Money,331.0,3
42,Negative Numbers,32.0,2
44,Percentages,32.0,2
45,Proportion,32.0,2
46,Ratio,32.0,2
47,Standard Form,40.0,3
48,Surds,32.0,2
49,Algebra,3.0,1
50,Expanding Single Brackets,152.0,3
51,Expanding Double Brackets,152.0,3
52,Factorising into a Single Bracket,153.0,3
53,Factorising into a Double Bracket,153.0,3
54,Straight Line Graphs,49.0,2
55,Quadratic Graphs,49.0,2
56,Graphs of Trigonometric Functions,158.0,3
57,Cubics and Reciprocals,158.0,3
58,Real Life Graphs,158.0,3
59,Inequalities,49.0,2
60,Rearranging Formula and Equations,156.0,3
61,Sequences,49.0,2
62,Writing and Simplifying Expressions,49.0,2
63,Simultaneous Equations,154.0,3
64,Linear Equations,154.0,3
65,Quadratic Equations,154.0,3
66,Solving Other Powers of x,154.0,3
67,Substitution into Formula,156.0,3
68,Transformation of Functions,49.0,2
69,Trial and Improvement and Iterative Methods,154.0,3
70,Writing Expressions,62.0,3
71,Geometry and Measure,3.0,1
72,3D Pythagoras,271.0,3
73,"Types, Naming and Estimating",74.0,3
74,Angles,71.0,2
75,Area of Simple Shapes,178.0,3
76,Bearings,74.0,3
77,Circles,71.0,2
78,Circle Theorems,74.0,3
79,Compound Measures,71.0,2
80,Congruency in Triangles,272.0,3
81,Co-ordinates,49.0,2
83,"Construction, Loci and Scale Drawing",71.0,2
84,Properties of Polygons,174.0,3
85,Nets,176.0,3
86,Perimeter,178.0,3
87,Plans and Elevations,176.0,3
88,Properties of Quadrilaterals,174.0,3
89,2D Pythagoras,271.0,3
90,Length Scale Factors in Similar Shapes,272.0,3
91,Symmetry,71.0,2
92,Reflection,278.0,3
93,Rotation,278.0,3
94,Enlargement,278.0,3
95,Translation and Vectors,278.0,3
96,Combined Transformations,278.0,3
97,Basic Trigonometry,71.0,2
98,Units of Measurement,71.0,2
99,Basic Vectors,71.0,2
100,Volume and Surface Area,71.0,2
101,Data and Statistics,3.0,1
102,"Averages (mean, median, mode) from a List of Data",338.0,3
103,Averages and Range from Grouped Data,338.0,3
104,Box Plots,342.0,3
105,Cumulative Frequency Diagram,342.0,3
106,Block Graphs and Bar Charts,342.0,3
107,Histogram,342.0,3
108,Pictogram,342.0,3
109,Pie Chart,342.0,3
110,Experimental Probability and Relative Frequency,348.0,3
111,Probability of Single Events,348.0,3
112,Tree Diagrams with Dependent Events,348.0,3
113,Data Collection,101.0,2
114,Sampling and Bias,338.0,3
115,Scatter Diagram,342.0,3
116,Stem and Leaf Diagram,342.0,3
117,Time Series and Line Graphs,342.0,3
118,Two Way Tables,342.0,3
119,Advanced Pure,3.0,1
120,Factor Theorem,142.0,3
121,Binomial Expansion,119.0,2
122,Complex Numbers,119.0,2
123,Conic Sections,119.0,2
125,Differential Equations,126.0,3
126,Differentiation,119.0,2
128,Exponentials and Logarithms,119.0,2
129,Integration,119.0,2
130,Matrices,119.0,2
131,Modulus Function,146.0,3
133,Parametric Equations,119.0,2
134,Partial Fractions,142.0,3
135,Polar Co-ordinates,122.0,3
137,Sequences and Series,119.0,2
139,Advanced Trigonometry,119.0,2
140,Advanced Vectors,119.0,2
141,Rounding and Estimating,32.0,2
142,Advanced Algebra,119.0,2
144,Basic Arithmetic,32.0,2
146,Functions,119.0,2
149,Advanced Mechanics,3.0,1
150,Advanced Decision,3.0,1
151,Advanced Statistics,3.0,1
152,Expanding Brackets,49.0,2
153,Factorising,49.0,2
154,Solving Equations,49.0,2
156,Formula,49.0,2
157,Writing Formula,156.0,3
158,Other Graphs,49.0,2
159,Equation of a Circle,158.0,3
160,Graphs of Exponentials and Other Powers of x,158.0,3
163,Transformations of functions in the form y =,68.0,3
164,Transformations of functions in the form f(x),68.0,3
165,Inequalities on Number Lines,59.0,3
166,Solving Linear Inequalities,59.0,3
167,Graphing Linear Inequalities (Shading Regions),59.0,3
168,Solving Quadratic Inequalities,59.0,3
171,Linear Sequences (nth term),61.0,3
172,Quadratic Sequences,61.0,3
173,Other Sequences,61.0,3
174,2D Names and Properties of Shapes,71.0,2
175,Properties of Triangles,174.0,3
176,3D Shapes,71.0,2
177,Names and Properties of 3D Shapes,176.0,3
178,Perimeter and Area,71.0,2
179,Compound Area,178.0,3
180,Measuring Angles,74.0,3
181,"Basic Angle Facts (straight line, opposite, around a point, etc)",74.0,3
182,Angle Facts with Parallel Lines,74.0,3
183,Angles in Polygons,74.0,3
184,Parts of a Circle,77.0,3
185,Circumference,77.0,3
186,Area of a Circle,77.0,3
