Level,YearGroup,QuizId,QuizSequence,CheckinQuestionId,CheckoutQuestionId,QuestionSequence,ConstructId,SubjectId,SubjectName,QuestionSubjectIds
1,5,242762,1,130326,130328,1,9,200.0,Counting,"3,32,144,200"
1,5,242762,1,130327,130329,2,10,200.0,Counting,"3,32,144,200"
1,5,242762,1,129986,130026,3,45,202.0,Place Value,"3,32,144,202"
1,5,242762,1,129987,130027,4,46,202.0,Place Value,"3,32,144,202"
1,5,242762,1,129988,130028,5,47,202.0,Place Value,"3,32,144,202"
1,5,228600,2,129989,130029,1,48,202.0,Place Value,"3,32,144,202"
1,5,228600,2,129990,130030,2,49,202.0,Place Value,"3,32,144,202"
1,5,228600,2,129991,130031,3,50,202.0,Place Value,"3,32,144,202"
1,5,228600,2,129992,130032,4,51,202.0,Place Value,"3,32,144,202"
1,5,228600,2,129993,130033,5,52,202.0,Place Value,"3,32,144,202"
1,5,202031,3,101848,101856,1,31,202.0,Place Value,"3,32,144,202"
1,5,202031,3,101849,101857,2,28,202.0,Place Value,"3,32,144,202"
1,5,202031,3,101850,101858,3,29,202.0,Place Value,"3,32,144,202"
1,5,202031,3,101851,101859,4,2008,1985.0,Reading Scales,"3,32,144,202"
1,5,202031,3,101852,101860,5,65,202.0,Place Value,"3,32,144,202"
1,5,242820,4,130106,130102,1,2165,199.0,Temperature units,"3,71,98,199"
1,5,242820,4,75910,76058,2,234,210.0,Ordering Negative Numbers,"3,32,42,210"
1,5,242820,4,130107,130103,3,2161,199.0,Temperature units,"3,71,98,199"
1,5,242820,4,75912,76060,4,237,210.0,Ordering Negative Numbers,"3,32,42,210"
1,5,242820,4,75909,76057,5,2008,1985.0,Reading Scales,"3,32,42,210"
1,5,228602,5,129994,130034,1,206,213.0,"Rounding to the Nearest Whole (10, 100, etc)","3,32,141,213"
1,5,228602,5,129995,130035,2,207,213.0,"Rounding to the Nearest Whole (10, 100, etc)","3,32,141,213"
1,5,228602,5,129996,130036,3,208,213.0,"Rounding to the Nearest Whole (10, 100, etc)","3,32,141,213"
1,5,228602,5,129997,130037,4,209,213.0,"Rounding to the Nearest Whole (10, 100, etc)","3,32,141,213"
1,5,228602,5,129998,130038,5,210,213.0,"Rounding to the Nearest Whole (10, 100, etc)","3,32,141,213"
1,5,226964,6,129092,129232,1,2480,177.0,Names and Properties of 3D Shapes,"3,71,176,177"
1,5,226964,6,129093,129233,2,2480,177.0,Names and Properties of 3D Shapes,"3,71,176,177"
1,5,226964,6,129094,129234,3,2480,177.0,Names and Properties of 3D Shapes,"3,71,176,177"
1,5,226964,6,129095,129235,4,3409,200.0,Counting,"3,71,176,177"
1,5,226964,6,129096,129236,5,3409,200.0,Counting,"3,71,176,177"
1,5,202460,7,101864,101874,1,80,203.0,Mental Addition and Subtraction,"3,32,144,203"
1,5,202460,7,101865,101875,2,81,203.0,Mental Addition and Subtraction,"3,32,144,203"
1,5,202460,7,101866,101876,3,84,203.0,Mental Addition and Subtraction,"3,32,144,203"
1,5,202460,7,101867,101877,4,95,203.0,Mental Addition and Subtraction,"3,32,144,203"
1,5,202460,7,101868,101878,5,92,203.0,Mental Addition and Subtraction,"3,32,144,203"
1,5,201903,8,101869,101879,1,93,203.0,Mental Addition and Subtraction,"3,32,144,203"
1,5,201903,8,101870,101880,2,3214,203.0,Mental Addition and Subtraction,"3,32,144,203"
1,5,201903,8,101871,101881,3,100,203.0,Mental Addition and Subtraction,"3,32,144,203"
1,5,201903,8,101872,101882,4,3213,203.0,Mental Addition and Subtraction,"3,32,144,203"
1,5,201903,8,101873,124599,5,99,203.0,Mental Addition and Subtraction,"3,32,144,203"
1,5,202490,9,102175,102185,1,179,206.0,Written Subtraction,"3,32,144,206"
1,5,202490,9,102176,102186,2,172,205.0,Written Addition,"3,32,144,205"
1,5,202490,9,102177,102187,3,172,205.0,Written Addition,"3,32,144,205"
1,5,202490,9,102178,102188,4,180,206.0,Written Subtraction,"3,32,144,206"
1,5,202490,9,102179,102189,5,180,206.0,Written Subtraction,"3,32,144,206"
2,5,202072,10,102180,102190,1,180,206.0,Written Subtraction,"3,32,144,206"
2,5,202072,10,102181,102191,2,180,206.0,Written Subtraction,"3,32,144,206"
2,5,202072,10,102182,102192,3,174,205.0,Written Addition,"3,32,144,205"
2,5,202072,10,102183,102193,4,181,206.0,Written Subtraction,"3,32,144,206"
2,5,202072,10,102184,102194,5,3228,206.0,Written Subtraction,"3,32,144,206"
2,5,226967,11,129105,129245,1,3443,,,"3,101,117,342"
2,5,226967,11,129106,129246,2,2904,117.0,Time Series and Line Graphs,"3,101,117,342"
2,5,226967,11,129107,129247,3,2904,117.0,Time Series and Line Graphs,"3,101,117,342"
2,5,226967,11,129108,129248,4,2905,117.0,Time Series and Line Graphs,"3,101,117,342"
2,5,226967,11,129109,129249,5,2905,117.0,Time Series and Line Graphs,"3,101,117,342"
2,5,226968,12,129110,129250,1,3028,1976.0,Frequency tables,"3,101,113,1976"
2,5,226968,12,129111,129251,2,2789,340.0,Averages and Range from Frequency Table,"3,101,113,1976"
2,5,226968,12,129112,129252,3,2789,340.0,Averages and Range from Frequency Table,"3,101,113,1976"
2,5,226968,12,129113,129253,4,3028,1976.0,Frequency tables,"3,101,113,1976"
2,5,226968,12,129114,129254,5,2911,118.0,Two Way Tables,"3,101,113,1976"
2,5,228605,13,130049,130009,1,42,202.0,Place Value,"3,32,141,216"
2,5,228605,13,130050,130010,2,3215,216.0,Estimation,"3,32,141,216"
2,5,228605,13,130051,130011,3,3215,216.0,Estimation,"3,32,141,216"
2,5,228605,13,130052,130012,4,3215,216.0,Estimation,"3,32,141,216"
2,5,228605,13,130053,130013,5,473,245.0,"Squares, Cubes, etc","3,32,141,216"
2,5,228598,14,130045,130005,1,78,203.0,Mental Addition and Subtraction,"3,32,144,203"
2,5,228598,14,130046,130006,2,90,203.0,Mental Addition and Subtraction,"3,32,144,203"
2,5,228598,14,130047,130007,3,3265,203.0,Mental Addition and Subtraction,"3,32,144,203"
2,5,228598,14,130048,130008,4,3266,203.0,Mental Addition and Subtraction,"3,32,144,203"
2,5,228598,14,130044,130004,5,71,1975.0,Combining Operations,"3,32,144,1975"
2,5,202049,15,89261,122881,1,106,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,202049,15,89289,89302,2,2564,75.0,Area of Simple Shapes,"3,32,144,204"
2,5,202049,15,102148,122882,3,130,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,202049,15,89290,122883,4,3279,207.0,Written Multiplication,"3,32,144,204"
2,5,202049,15,102149,125855,5,3411,,,"3,32,144,204"
2,5,202055,16,102159,122884,1,137,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,202055,16,102160,102168,2,164,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,202055,16,102162,102170,3,3343,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,202055,16,102163,102171,4,3229,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,202055,16,102165,122885,5,161,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,201945,17,102150,102156,1,3316,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,201945,17,102151,102157,2,3316,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,201945,17,102152,102158,3,107,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,201945,17,89268,89281,4,3321,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,201945,17,89297,89310,5,3316,204.0,Mental Multiplication and Division,"3,32,144,204"
2,5,202142,18,89777,89791,1,331,219.0,Factors and Highest Common Factor,"3,32,37,219"
2,5,202142,18,99569,99584,2,342,220.0,Multiples and Lowest Common Multiple,"3,32,37,220"
2,5,202142,18,89779,89793,3,331,219.0,Factors and Highest Common Factor,"3,32,37,219"
2,5,202142,18,89812,120805,4,342,220.0,Multiples and Lowest Common Multiple,"3,32,37,220"
2,5,202142,18,89778,89792,5,331,219.0,Factors and Highest Common Factor,"3,32,37,219"
3,5,226954,19,129046,129186,1,3450,200.0,Counting,"3,32,37,221"
3,5,226954,19,129047,129187,2,3451,200.0,Counting,"3,32,37,221"
3,5,226954,19,129048,129188,3,352,221.0,Prime Numbers and Prime Factors,"3,32,37,221"
3,5,226954,19,129049,129189,4,352,221.0,Prime Numbers and Prime Factors,"3,32,37,221"
3,5,226954,19,129050,129190,5,342,220.0,Multiples and Lowest Common Multiple,"3,32,37,221"
3,5,202155,20,76702,78770,1,352,221.0,Prime Numbers and Prime Factors,"3,32,37,221"
3,5,202155,20,89782,120808,2,352,221.0,Prime Numbers and Prime Factors,"3,32,37,221"
3,5,202155,20,103039,103047,3,352,221.0,Prime Numbers and Prime Factors,"3,32,37,221"
3,5,202155,20,103040,103048,4,352,221.0,Prime Numbers and Prime Factors,"3,32,37,221"
3,5,202155,20,103041,103049,5,352,221.0,Prime Numbers and Prime Factors,"3,32,37,221"
3,5,233588,21,132107,132069,1,35,202.0,Place Value,"3,32,36"
3,5,233588,21,132181,132070,2,35,202.0,Place Value,"3,32,36"
3,5,233588,21,75907,76055,3,39,202.0,Place Value,"3,32,144,202"
3,5,233588,21,103671,103681,4,39,202.0,Place Value,"3,32,144,202"
3,5,233588,21,103672,103682,5,39,202.0,Place Value,"3,32,144,202"
3,5,202521,22,103750,103760,1,307,224.0,Multiplying and Dividing with Decimals,"3,32,36,224"
3,5,202521,22,103751,103761,2,314,224.0,Multiplying and Dividing with Decimals,"3,32,36,224"
3,5,202521,22,103752,103762,3,308,224.0,Multiplying and Dividing with Decimals,"3,32,36,224"
3,5,202521,22,103753,103763,4,315,224.0,Multiplying and Dividing with Decimals,"3,32,36,224"
3,5,202521,22,103687,103677,5,314,224.0,Multiplying and Dividing with Decimals,"3,32,144,202"
3,5,202073,23,102200,102210,1,3283,207.0,Written Multiplication,"3,32,144,207"
3,5,202073,23,102196,102206,2,3282,207.0,Written Multiplication,"3,32,144,207"
3,5,202073,23,102197,102207,3,3282,207.0,Written Multiplication,"3,32,144,207"
3,5,202073,23,102198,102208,4,3282,207.0,Written Multiplication,"3,32,144,207"
3,5,202073,23,102199,102209,5,3282,207.0,Written Multiplication,"3,32,144,207"
3,5,226955,24,129051,129191,1,3281,207.0,Written Multiplication,"3,32,144,207"
3,5,226955,24,129052,129192,2,3282,207.0,Written Multiplication,"3,32,144,207"
3,5,226955,24,129053,129193,3,3270,207.0,Written Multiplication,"3,32,144,207"
3,5,226955,24,129054,129194,4,3273,207.0,Written Multiplication,"3,32,144,207"
3,5,226955,24,129055,129195,5,3291,207.0,Written Multiplication,"3,32,144,207"
3,5,202078,25,102216,102226,1,3405,,,"3,32,144,208"
3,5,202078,25,102217,102227,2,196,208.0,Written Division,"3,32,144,208"
3,5,202078,25,102218,102228,3,196,208.0,Written Division,"3,32,144,208"
3,5,202078,25,102219,102229,4,196,208.0,Written Division,"3,32,144,208"
3,5,202078,25,102220,102230,5,3442,,,"3,32,144,208"
3,5,228513,26,130207,130227,1,71,1975.0,Combining Operations,"3,32,144,1975"
3,5,228513,26,130208,130228,2,72,1975.0,Combining Operations,"3,32,144,1975"
3,5,228513,26,130209,130229,3,73,1975.0,Combining Operations,"3,32,144,1975"
3,5,228513,26,130210,130230,4,74,1975.0,Combining Operations,"3,32,144,1975"
3,5,228513,26,130211,130231,5,75,1975.0,Combining Operations,"3,32,144,1975"
3,5,228610,27,129061,129201,1,473,245.0,"Squares, Cubes, etc","3,32,40,245"
3,5,228610,27,129062,129202,2,474,245.0,"Squares, Cubes, etc","3,32,40,245"
3,5,228610,27,129063,129203,3,336,219.0,Factors and Highest Common Factor,"3,32,37,219"
3,5,228610,27,129064,129204,4,347,220.0,Multiples and Lowest Common Multiple,"3,32,37,220"
3,5,228610,27,129065,129205,5,336,219.0,Factors and Highest Common Factor,"3,32,37,219"
3,5,228608,28,129066,129206,1,638,243.0,Direct Proportion,"3,32,45,243"
3,5,228608,28,129067,129207,2,639,243.0,Direct Proportion,"3,32,45,243"
3,5,228608,28,129068,129208,3,638,243.0,Direct Proportion,"3,32,45,243"
3,5,228608,28,129069,129209,4,639,243.0,Direct Proportion,"3,32,45,243"
3,5,228608,28,129070,129210,5,638,243.0,Direct Proportion,"3,32,45,243"
4,5,226961,29,129077,129217,1,2591,86.0,Perimeter,"3,71,86,178"
4,5,226961,29,129078,129218,2,2591,86.0,Perimeter,"3,71,86,178"
4,5,226961,29,129079,129219,3,2593,86.0,Perimeter,"3,71,86,178"
4,5,226961,29,129080,129220,4,2609,655.0,Missing Lengths,"3,71,86,178"
4,5,226961,29,129081,129221,5,2609,655.0,Missing Lengths,"3,71,86,178"
4,5,201944,30,98459,98471,1,2560,75.0,Area of Simple Shapes,"3,71,75,178"
4,5,201944,30,98460,98472,2,2561,75.0,Area of Simple Shapes,"3,71,75,178"
4,5,201944,30,98461,124905,3,2560,75.0,Area of Simple Shapes,"3,71,75,178"
4,5,201944,30,98464,98476,4,2599,86.0,Perimeter,"3,71,75,86,178"
4,5,201944,30,98466,124904,5,2562,75.0,Area of Simple Shapes,"3,71,75,178"
4,5,226962,31,129082,129222,1,2563,75.0,Area of Simple Shapes,"3,71,75,178"
4,5,226962,31,129083,129223,2,2564,75.0,Area of Simple Shapes,"3,71,75,178"
4,5,226962,31,129084,129224,3,2581,75.0,Area of Simple Shapes,"3,71,75,178"
4,5,226962,31,129085,129225,4,2561,75.0,Area of Simple Shapes,"3,71,75,178"
4,5,226962,31,129086,129226,5,2562,75.0,Area of Simple Shapes,"3,71,75,178"
4,5,202171,32,103808,103812,1,3342,,,"3,32,39,227"
4,5,202171,32,100555,100572,2,3342,,,"3,32,39,225"
4,5,202171,32,103809,103813,3,3342,,,"3,32,39,227"
4,5,202171,32,103810,103814,4,3342,,,"3,32,39,227"
4,5,202171,32,103811,103815,5,411,227.0,Simplifying Fractions,"3,32,39,227"
4,5,242220,33,130059,130019,1,408,226.0,Equivalent Fractions,"3,32,39,226"
4,5,242220,33,130060,130020,2,396,225.0,Fractions of an Amount,"3,32,39,225"
4,5,242220,33,130061,130021,3,397,225.0,Fractions of an Amount,"3,32,39,225"
4,5,242220,33,130062,130022,4,398,225.0,Fractions of an Amount,"3,32,39,225"
4,5,242220,33,130063,130023,5,399,225.0,Fractions of an Amount,"3,32,39,225"
4,5,202593,34,76735,78802,1,409,226.0,Equivalent Fractions,"3,32,39,226"
4,5,202593,34,76736,78803,2,408,226.0,Equivalent Fractions,"3,32,39,226"
4,5,202593,34,100567,100584,3,409,226.0,Equivalent Fractions,"3,32,39,226"
4,5,202593,34,100568,100585,4,409,226.0,Equivalent Fractions,"3,32,39,226"
4,5,202593,34,100590,122117,5,396,225.0,Fractions of an Amount,"3,32,39,225"
4,5,242223,35,130054,130014,1,413,228.0,Ordering Fractions,"3,32,39,228"
4,5,242223,35,130055,130015,2,414,228.0,Ordering Fractions,"3,32,39,228"
4,5,242223,35,130056,130016,3,417,228.0,Ordering Fractions,"3,32,39,228"
4,5,242223,35,130057,130017,4,418,228.0,Ordering Fractions,"3,32,39,228"
4,5,242223,35,130058,130018,5,414,228.0,Ordering Fractions,"3,32,39,228"
4,5,202187,36,103831,103837,1,399,225.0,Fractions of an Amount,"3,32,39,229"
4,5,202187,36,103833,103839,2,423,229.0,Converting Mixed Number and Improper Fractions,"3,32,39,229"
4,5,202187,36,103834,103840,3,422,229.0,Converting Mixed Number and Improper Fractions,"3,32,39,229"
4,5,202187,36,76742,78809,4,423,229.0,Converting Mixed Number and Improper Fractions,"3,32,39,229"
4,5,202187,36,76743,78810,5,422,229.0,Converting Mixed Number and Improper Fractions,"3,32,39,229"
